id,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,county
48,1174,1093,2,19.41939926147461,-99.16429901123048,Benito Juárez
49,1160,1101,1,19.498899459838867,-99.11940002441406,Benito Juárez
50,1165,1106,1,19.41990089416504,-99.16410064697266,Benito Juárez
51,988,1111,1,19.3981990814209,-99.1710968017578,Benito Juárez
52,990,1113,2,19.301700592041016,-99.18589782714844,Tlalpan
53,1220,1115,2,19.441200256347656,-99.15489959716795,Benito Juárez
54,1067,1304,2,19.497299194335938,-99.11969757080078,Benito Juárez
55,1069,1306,1,19.49760055541992,-99.11940002441406,Benito Juárez
56,1188,2306,2,19.40559959411621,-99.1855010986328,Benito Juárez
57,1190,2308,1,19.4822006225586,-99.10559844970705,Benito Juárez
58,1191,2309,2,19.480100631713867,-99.10089874267578,Benito Juárez
59,1236,2312,2,19.404199600219727,-99.17330169677734,Benito Juárez
60,1214,2313,2,19.40449905395508,-99.17420196533205,Benito Juárez
61,1217,2316,2,19.3843002319336,-99.07599639892578,Benito Juárez
62,10007,2338,2,19.386499404907227,-99.07949829101562,Benito Juárez
63,1237,2346,2,19.39609909057617,-99.15910339355467,Benito Juárez
64,1025,2352,2,19.38640022277832,-99.0718994140625,Benito Juárez
65,1230,2361,2,19.39780044555664,-99.12930297851562,Benito Juárez
66,1233,2364,1,19.39389991760254,-99.09049987792967,Benito Juárez
67,1241,2376,1,19.39579963684082,-99.15499877929688,Benito Juárez
68,178,120,2,19.37339973449707,-99.1791000366211,Benito Juárez
69,1287,220,2,19.45109939575196,-99.10970306396484,Benito Juárez
70,1288,221,2,19.39080047607422,-99.04730224609376,Benito Juárez
71,366,308,2,19.396499633789062,-99.0561981201172,Benito Juárez
72,416,358,1,19.40780067443848,-99.18920135498048,Benito Juárez
73,422,364,2,19.404600143432617,-99.17420196533205,Benito Juárez
74,432,374,1,19.402000427246094,-99.18710327148438,Benito Juárez
75,450,392,2,19.394500732421875,-99.14089965820312,Benito Juárez
76,452,394,2,19.391000747680664,-99.04769897460938,Benito Juárez
77,1021,398,2,19.3971004486084,-99.10289764404295,Benito Juárez
78,24,424,2,19.52050018310547,-99.16410064697266,Benito Juárez
79,26,426,2,19.4606990814209,-99.1438980102539,Benito Juárez
80,35,435,2,19.479400634765625,-99.14820098876952,Benito Juárez
81,51,451,2,19.3971004486084,-99.15589904785156,Benito Juárez
82,56,456,2,19.47360038757324,-99.14600372314452,Benito Juárez
83,986,472,1,19.44619941711425,-99.14710235595705,Benito Juárez
84,472,514,1,19.44219970703125,-99.15249633789062,Benito Juárez
85,474,516,1,19.425199508666992,-99.11979675292967,Benito Juárez
86,476,518,2,19.43790054321289,-99.14869689941406,Benito Juárez
87,482,524,1,19.430400848388672,-99.1417999267578,Benito Juárez
88,499,541,1,19.43050003051757,-99.11509704589844,Benito Juárez
89,500,542,2,19.42720031738281,-99.11620330810548,Benito Juárez
